figure_id,title,figure_path_png,module,source_data,chapter,destination,smartboost_current_result,notes
F11,RGARCH-CARR-SK 动态偏度,outputs/figures/04_rgarch/fig_rgarch_carr_sk_adapted_dynamic_skewness.png,RGARCH-CARR-SK,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_conditional_paths.csv,第6章 RGARCH-CARR-SK,正文/附录,不适用,单独高阶矩路径图。
F12,RGARCH-CARR-SK 动态峰度,outputs/figures/04_rgarch/fig_rgarch_carr_sk_adapted_dynamic_kurtosis.png,RGARCH-CARR-SK,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_conditional_paths.csv,第6章 RGARCH-CARR-SK,正文/附录,不适用,单独高阶矩路径图。
F13,realized pressure measures 标准化分布,outputs/figures/04_rgarch/fig_rgarch_carr_sk_adapted_realized_measures.png,RGARCH-CARR-SK,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_realized_pressure_measures.csv,第6章 RGARCH-CARR-SK,正文/附录,不适用,比较 RV、RBV、MedRV、RMAD；使用标准化 log measure 避免量纲混画。
F14,realized pressure measures 密度对比,outputs/figures/04_rgarch/fig_rgarch_realized_measure_density.png,RGARCH-CARR-SK,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_realized_pressure_measures.csv,第6章 RGARCH-CARR-SK,附录,不适用,辅助比较不同 realized pressure measure 的分布形态。
F15,RGARCH-CARR-SK 样本外损失对比,outputs/figures/04_rgarch/fig_rgarch_oos_loss_comparison.png,RGARCH-CARR-SK,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_oos_losses.csv,第6章 RGARCH-CARR-SK,正文/附录,不适用,比较不同 realized pressure measure 的 validation/test R2LOG。
F16,RGARCH-CARR-SK 风险与高阶矩演化,outputs/figures/04_rgarch/fig_refined_rgarch_risk_evolution.png,RGARCH-CARR-SK,outputs/tables/04_rgarch/rgarch_carr_sk_adapted_conditional_paths.csv,第6章 RGARCH-CARR-SK,附录,不适用,综合展示条件风险、动态偏度和动态峰度。
F17,QVAR 尾部分位响应,outputs/figures/05_qvar/fig_qvar_tail_quantile_response.png,QVAR,outputs/tables/05_qvar/qvar_tail_quantile_response.csv,第7章 QVAR,正文,不适用,展示尾部分位传导，不表示严格因果识别。
F18,QVAR 压力测试情景,outputs/figures/05_qvar/fig_qvar_pressure_test_paths.png,QVAR,outputs/tables/05_qvar/qvar_pressure_test_paths.csv,第7章 QVAR,正文,不适用,四类标准化情景冲击模拟；不是严格因果识别。
F19,QVAR 响应衰减对比,outputs/figures/05_qvar/fig_qvar_response_decay.png,QVAR,outputs/tables/05_qvar/qvar_tail_quantile_response.csv,第7章 QVAR,附录,不适用,q=0.95 下不同冲击对 MarketLSI 的响应路径。
F20,QVAR MarketLSI 样本外 pinball loss,outputs/figures/05_qvar/fig_qvar_pinball_loss.png,QVAR,outputs/tables/05_qvar/qvar_blocked_oos_pinball_loss.csv,第7章 QVAR,附录,不适用,只展示 MarketLSI 方程的 validation/test 损失。
F21,QVAR MarketLSI 方程系数热力图,outputs/figures/05_qvar/fig_qvar_coefficient_heatmap.png,QVAR,outputs/tables/05_qvar/qvar_quantile_coefficients_train.csv,第7章 QVAR,附录,不适用,训练期分位数回归系数；用于解释系统变量关系。
F22,SMARTBoost 样本外 PR 曲线,outputs/figures/06_smartboost/fig_smartboost_pr_curve.png,SMARTBoost,outputs/tables/06_smartboost/predictions_by_code/*.parquet,第8章 SMARTBoost,正文,是,使用剔除 CrossStress 后的新预测结果。
F23,SMARTBoost 样本外 ROC 曲线,outputs/figures/06_smartboost/fig_smartboost_roc_curve.png,SMARTBoost,outputs/tables/06_smartboost/predictions_by_code/*.parquet,第8章 SMARTBoost,附录,是,ROC 为辅助证据，不替代 PR 曲线。
F24,SMARTBoost validation/test PR 与 ROC 对比,outputs/figures/06_smartboost/fig_smartboost_pr_roc_by_period.png,SMARTBoost,outputs/tables/06_smartboost/predictions_by_code/*.parquet,第8章 SMARTBoost,附录,是,辅助展示不同样本外期间曲线。
F25,SMARTBoost Calibration 曲线,outputs/figures/06_smartboost/fig_smartboost_calibration_curve.png,SMARTBoost,outputs/tables/06_smartboost/smartboost_calibration_table.csv,第8章 SMARTBoost,正文/附录,是,分箱点图和45度参考线。
F26,SMARTBoost Top 5% 高风险组真实压力发生率,outputs/figures/06_smartboost/fig_smartboost_top5_realized_rate.png,SMARTBoost,outputs/tables/06_smartboost/smartboost_event_rate_and_lift.csv,第8章 SMARTBoost,正文,是,柱上标注为 Top5 lift。
F27,SMARTBoost 高风险分组命中率,outputs/figures/06_smartboost/fig_refined_top5_realized_rate.png,SMARTBoost,outputs/tables/06_smartboost/smartboost_high_risk_group_rates.csv,第8章 SMARTBoost,附录,是,展示 Top 1/5/10/20% 分组真实压力发生率。
F28,SMARTBoost lift curve,outputs/figures/06_smartboost/fig_smartboost_lift_curve.png,SMARTBoost,outputs/tables/06_smartboost/smartboost_high_risk_group_rates.csv,第8章 SMARTBoost,正文/附录,是,高风险分组相对基准事件率的 lift。
F29,SMARTBoost Partial Effects,outputs/figures/06_smartboost/fig_smartboost_partial_effects.png,SMARTBoost,outputs/tables/06_smartboost/smartboost_partial_effects.csv,第8章 SMARTBoost,正文/附录,是,选择局部响应幅度最大的4个无泄漏变量；不含 CrossStress。
F30,SMARTBoost refined Partial Effects,outputs/figures/06_smartboost/fig_refined_partial_effects.png,SMARTBoost,outputs/tables/06_smartboost/smartboost_partial_effects.csv,第8章 SMARTBoost,附录,是,展示当前 partial effects 表中的无泄漏变量。
F31,SMARTBoost 预测概率分布,outputs/figures/06_smartboost/fig_smartboost_probability_distribution.png,SMARTBoost,outputs/tables/06_smartboost/predictions_by_code/*.parquet,第8章 SMARTBoost,附录,是,展示 test 样本正负例预测概率分离。
F32,SMARTBoost 分阶段 PR-AUC,outputs/figures/06_smartboost/fig_smartboost_regime_metrics.png,SMARTBoost,outputs/tables/06_smartboost/smartboost_regime_metrics.csv,第8章 SMARTBoost,附录,是,分阶段描述性性能对比，不作因果识别。
F33,SMARTBoost feature importance,outputs/figures/06_smartboost/fig_smartboost_feature_importance.png,SMARTBoost,outputs/tables/06_smartboost/smartboost_feature_importance.csv,第8章 SMARTBoost,附录,是,若 importance 全为0，图中如实说明。
